title,chapternumber,eyes,comment,heart,kind,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,k11,k12,k13,k14,k15,k16
Chi Tôn Đồng Thuật Sư: Tuyệt Thế Đại Tiểu Thư,283,52609717,19742,191929,Chuyển Sinh,Cổ Đại,Manhua,Ngôn Tình,Romance,Supernatural,Xuyên Không,,,,,,,,,,
Phong Khởi Thương Lam,547,52211901,41308,135330,Action,Adventure,Manhua,Romance,,,,,,,,,,,,,
Ngự Linh Thế Giới,610,52090698,10375,65878,Action,Adventure,Fantasy,Manhua,Supernatural,,,,,,,,,,,,
Mạt Thế Vi Vương,468,51864270,3938,91630,Action,Chuyển Sinh,Horror,,,,,,,,,,,,,,
Chúa tể học đường,512,51192815,5120,43592,Action,Adventure,Comedy,Manhwa,Martial Arts,Shounen,,,,,,,,,,,
Ta Là Tà Đế,237,51184544,20122,185659,Manhua,Supernatural,Xuyên Không,,,,,,,,,,,,,,
Tòa Tháp Bí Ẩn,525,51076494,12663,50684,Action,Adventure,Comedy,Drama,Fantasy,Manhwa,Romance,Shounen,,,,,,,,,
Trong Sinh Chi Ức Vạn Ảnh Hậu Yếu Thượng Vị,364,50974230,18376,80086,Comedy,Manhua,Ngôn Tình,Romance,,,,,,,,,,,,,
Vạn Giới Tiên Tung,439,50454924,9583,78629,Action,Adventure,Harem,Manhua,Mystery,Shounen,,,,,,,,,,,
Anh Hùng ? Ta Không Làm Lâu Rồi,370,49861302,17519,116432,Adventure,Fantasy,Manhua,Martial Arts,Mystery,,,,,,,,,,,,
Tuyệt thế Đường Môn - Đấu La Đại Lục 2,317,49683277,12316,76409,Action,Comedy,Drama,Manhua,,,,,,,,,,,,,
Quy Luật Tình Yêu Ở Mạt Thế,425,49154734,4947,86989,Comedy,Manhua,Ngôn Tình,Romance,Shoujo,,,,,,,,,,,,
Tiên Vương Trùng Sinh,386,49114807,5208,106104,Action,Adventure,Manhua,,,,,,,,,,,,,,
Tiên Võ Đế Tôn,295,47790294,8577,147244,Action,Adventure,Cổ Đại,Fantasy,Manhua,,,,,,,,,,,,
Thần Hào Chi Thiên Hàng Hệ Thống,391,47259256,7493,110112,Action,Fantasy,Manhua,Martial Arts,,,,,,,,,,,,,
Hôn Trộm 55 Lần,182,46685821,19271,35076,Manhua,Ngôn Tình,Romance,Shoujo,,,,,,,,,,,,,
Tôn Thượng,319,46381001,9222,119848,Action,Adventure,Chuyển Sinh,Manhua,Mystery,Xuyên Không,,,,,,,,,,,
